#,subject,status,detail
1,OPEX — three non-cash lines,NEEDS ANOOP,"Accrued expenses 260,951.35, depreciation 244,919.00, and the 150,000 line labelled capital / pre-operative are held out of the control-account journal because they never moved cash. Name an account for each and they post with the other 31 lines (1,284,132.15)."
2,UG-180 has no owner agreement,NEEDS A DOCUMENT,"OAR-012 is grouped UG-169/180 at 30,000 but the contract covers UG-169 only, so the whole 30,000 posts to UG-169. UG-180 carries 15 units and 103,500 of revenue against no cost. It is the one building still on a placeholder landlord and the one with no head lease."
3,Rent-free periods not modelled,NEEDS ANOOP,"TV-27 two months, TV-66 and TV-68 one each, UG-20 seven days. Head Lease.rent_free_days exists but onboard_building does not pass it. As-incurred vs straight-line is still open. Note the villa rent-free windows ARE now modelled — see item 8."
4,Key money outside the portfolio,NEEDS A DECISION,"207,301 of the 1,419,551 sits under OTHER PROPERTIES — Gharafa, Shakama, Aziziya — which are not among the 23 and have no cost centre. The villa share (620,000) is now allocated. 592,250 across eleven named buildings posts cleanly."
5,"Vacancy rows carry 19,275",NEEDS A DECISION,"125 ledger rows labelled VACANT or EMPTY charge 19,275 and show 11,175 received, with no party to invoice. Plus one row, TV-20/F-02 Sep-2025 at 4,500, that no tenancy covers. Resolve and the history posts the full 5,306,783 instead of 5,283,008."
6,TWR-16 / TWR-39 duplicate label,CONFIRM ONLY,"The source labels two villa rows MARKHIYA 16. Owner_Rent_Pending names the ninth ""Building 39"", and the lease dates differ, so it is mapped by position: row 5 = TWR-16 (ends 2028-04-30), row 9 = TWR-39 (ends 2028-09-30). Same 16,000 either way. Worth an eyeball, not a blocker."
7,Umm Lakhba vs Dafna,CONFIRM WITH KHAYAZ,"Owner agreements place TWR-19, 20, 37, 45, 58 in Umm Lakhba; the revenue workbook calls them Dafna. Document-as-authority applied, so area_name is Umm Lakhba. It changes how they group on the MD dashboard."
8,Villa allocation,SOLVED,"Not a judgement call after all. 16,000/month per villa from Mar-2026, less each villa rent-free window, reproduces the source month for month: Mar 96,000, May 160,000, Jun 144,000 all match, and the total is 640,000 to the fils. The only difference is that April 96,000 was posted by the source in July; it is accrued here in April. owner_rent_history.csv is now per building across 22 buildings."
9,Building.cost_center,NOT AN ISSUE — I WAS WRONG,"I said nothing writes it. The after_insert hook in hooks.py calls utils.cost_center.create_building_cost_center, which creates a Cost Center per building and sets the field. load_buildings will populate all 23. No patch needed. The one real risk is that the hook returns quietly if the company has no group cost centre, so check the count after loading."
10,Landlord Purchase Invoice importer,NOT AN ISSUE — I WAS WRONG,"I said there is none. load_ak12_headlease.py posts one Purchase Invoice per month against the landlord plus a Payment Entry, with the cost centre already resolved per row. Generalised to load_portfolio_headlease.py in this pack."
11,Notification rules,NOT AN ISSUE — STALE NOTE,"All eleven rules in create_notifications.py already target the V2 names — Tenancy Agreement, Head Lease, Cheque, Document Register, Maintenance Request. Nothing to fix. Only cosmetic point: N11 tests for status ""Cancelled"", which is not in the Select, so that branch is dead."
